part,prov,short_status,long_status,n_depletions,n_shipments,depletions_baseline,shipments_baseline,calc_baseline,log,partprov
102495,MB,Active,Active - mature - permanent,0,20,na,31,31,,102495MB
102495,ON,Active,Active - mature - exiting,16,17,171,192,171,,102495ON
102495,SK,X,X - never shipped,0,0,na,na,na,,102495SK
102496,AB,Active,Active - mature - exiting,25,29,56,36,56,,102496AB
102496,MB,Active,Active - mature - exiting,0,22,na,19,19,,102496MB
102496,SK,Active,Active - mature - exiting,0,22,na,39,39,,102496SK
102502,AB,Active,Active - mature - exiting,17,22,63,3,63,,102502AB
102502,MB,Active,Active - mature - permanent,0,20,na,1,1,,102502MB
102502,ON,Active,Active - mature - exiting,19,23,94,134,94,,102502ON
102502,PE,Active,Active - mature - permanent,18,21,46,8,8,,102502PE
102502,SK,X,X - historical,0,10,na,1,na,,102502SK
102503,AB,X,X - historical,28,32,0,0,na,,102503AB
102513,AB,Active,Active - mature - permanent,11,15,42,8,42,,102513AB
102513,MB,NPD,NPD - late launch,0,0,na,na,25.0,Late launch; pushing.[WARNING]: no loadin data.,102513MB
102513,ON,Active,Active - mature - permanent,20,21,13,18,13,,102513ON
102513,SK,X,X - never shipped,0,0,na,na,na,,102513SK
102514,AB,Active,Active - mature - permanent,11,15,54,20,54,,102514AB
102514,MB,NPD,NPD - late launch,0,0,na,na,25.0,Late launch; pushing.[WARNING]: no loadin data.,102514MB
102514,ON,Active,Active - mature - permanent,20,21,5,10,5,,102514ON
102514,SK,X,X - never shipped,0,0,na,na,na,,102514SK
102523,AB,Active,Active - NPD - permanent,4,8,23,74,23,,102523AB
102523,MB,NPD,NPD - late launch,0,0,na,na,25.0,Late launch; pushing.[WARNING]: no loadin data.,102523MB
102523,ON,Active,Active - NPD - permanent,0,10,na,46,na,[ERROR]: Unable to fc; check baseline.,102523ON
102523,SK,X,X - never shipped,0,0,na,na,na,,102523SK
102524,AB,NPD,NPD - future launch,0,0,na,na,100.0,,102524AB
102524,BC,NPD,NPD - future launch,0,0,na,na,250.0,,102524BC
102524,MB,NPD,NPD - late launch,0,0,na,na,40.0,Late launch; pushing.[WARNING]: no loadin data.,102524MB
102524,NL,NPD,NPD - future launch,0,0,na,na,90.0,,102524NL
102524,ON,Active,Active - NPD - exiting,0,1,na,na,120.0,,102524ON
102524,SK,NPD,NPD - late launch,0,0,na,na,10.0,Late launch; pushing.[WARNING]: no loadin data.,102524SK
102526,MB,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102526MB
102526,ON,NPD,NPD - future launch,0,0,na,na,72.0,[WARNING]: no loadin data.,102526ON
102526,SK,NPD,NPD - future launch,0,0,na,na,10.0,[WARNING]: no loadin data.,102526SK
102528,AB,NPD,NPD - future launch,0,0,na,na,300.0,,102528AB
102528,MB,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102528MB
102528,ON,NPD,NPD - future launch,0,0,na,na,100.0,[WARNING]: no loadin data.,102528ON
102528,SK,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102528SK
102531,AB,NPD,NPD - future launch,0,0,na,na,200.0,,102531AB
102531,MB,NPD,NPD - future launch,0,0,na,na,60.0,[WARNING]: no loadin data.,102531MB
102531,NL,Active,Active - NPD - exiting,0,8,na,170,170,,102531NL
