part,prov,short_status,long_status,n_depletions,n_shipments,depletions_baseline,shipments_baseline,calc_baseline,log,partprov
102099,AB,Active,Active - mature - permanent,31,35,128,300,128,,102099AB
102099,MB,Active,Active - mature - permanent,0,34,na,122,122,,102099MB
102099,ON,Active,Active - mature - permanent,19,23,457,608,457,,102099ON
102099,SK,X,X - historical,0,36,na,15,na,,102099SK
102105,QC,X,X - historical,0,87,na,0,na,,102105QC
102106,QC,Active,Active - mature - exiting,52,59,299,300,299,,102106QC
102125,QC,Active,Active - mature - exiting,52,85,66,30,66,,102125QC
102127,AB,X,X - historical,52,82,33,6,na,,102127AB
102127,MB,Active,Active - mature - permanent,0,80,na,48,48,,102127MB
102127,NL,X,X - historical,52,62,48,38,na,,102127NL
102127,ON,Active,Active - mature - permanent,52,69,85,20,85,,102127ON
102127,PE,Active,Active - mature - permanent,52,87,8,36,36,,102127PE
102127,SK,X,X - historical,0,79,na,7,na,,102127SK
102128,AB,X,X - historical,52,59,0,0,na,,102128AB
102128,MB,X,X - historical,0,58,na,0,na,,102128MB
102128,ON,X,X - historical,52,73,0,0,na,,102128ON
102128,SK,X,X - historical,0,62,na,0,na,,102128SK
102142,QC,X,X - historical,0,95,na,0,na,,102142QC
102151,AB,X,X - historical,52,95,0,0,na,,102151AB
102151,BC,Active,Active - mature - exiting,41,94,498,937,498,,102151BC
102151,MB,X,X - historical,0,89,na,0,na,,102151MB
102151,ON,Active,Active - mature - exiting,44,96,657,674,657,,102151ON
102151,PE,X,X - historical,52,83,1,0,na,,102151PE
102151,SK,X,X - historical,0,89,na,0,na,,102151SK
102152,AB,X,X - historical,52,95,0,0,na,,102152AB
102152,BC,X,X - historical,52,94,0,0,na,,102152BC
102152,MB,X,X - historical,0,89,na,0,na,,102152MB
102152,ON,X,X - historical,51,96,0,0,na,,102152ON
102152,SK,X,X - historical,0,89,na,0,na,,102152SK
102153,AB,X,X - historical,52,93,0,0,na,,102153AB
102153,BC,X,X - historical,0,93,na,0,na,,102153BC
102153,MB,X,X - historical,0,89,na,0,na,,102153MB
102153,ON,X,X - historical,52,93,0,0,na,,102153ON
102153,SK,X,X - historical,0,89,na,0,na,,102153SK
102154,AB,Active,Active - mature - exiting,52,95,490,357,490,,102154AB
102154,BC,Active,Active - mature - exiting,29,94,516,906,516,,102154BC
102154,MB,X,X - historical,0,89,na,0,na,,102154MB
102154,ON,Active,Active - mature - exiting,45,96,758,626,758,,102154ON
102154,SK,Active,Active - mature - exiting,0,89,na,40,40,,102154SK
102155,AB,X,X - historical,52,95,0,0,na,,102155AB
102155,BC,Active,Active - mature - exiting,41,94,575,889,575,,102155BC
102155,MB,Active,Active - mature - permanent,0,89,na,50,50,,102155MB
102155,NL,X,X - historical,52,63,46,1,na,,102155NL
102155,ON,Active,Active - mature - exiting,52,96,481,418,481,,102155ON
102155,SK,X,X - historical,0,89,na,0,na,,102155SK
102156,AB,Active,Active - mature - exiting,52,94,659,473,659,,102156AB
102156,BC,Active,Active - mature - exiting,40,94,49,1543,49,,102156BC
102156,MB,Active,Active - mature - permanent,0,89,na,57,57,,102156MB
102156,NL,X,X - historical,45,49,16,0,na,,102156NL
102156,ON,Active,Active - mature - exiting,43,96,0,1477,0,,102156ON
102156,PE,Active,Active - mature - exiting,52,83,30,9,9,,102156PE
102156,SK,Active,Active - mature - exiting,0,89,na,60,60,,102156SK
102157,AB,X,X - historical,52,95,0,0,na,,102157AB
102157,MB,X,X - historical,0,89,na,0,na,,102157MB
102157,ON,X,X - historical,52,96,0,0,na,,102157ON
102157,SK,X,X - historical,0,89,na,0,na,,102157SK
102158,AB,X,X - historical,52,95,0,0,na,,102158AB
102158,MB,X,X - historical,0,89,na,0,na,,102158MB
102158,ON,X,X - historical,52,92,0,0,na,,102158ON
102158,SK,X,X - historical,0,87,na,30,na,,102158SK
102159,AB,X,X - historical,52,95,0,0,na,,102159AB
102159,BC,X,X - historical,52,76,0,0,na,,102159BC
102159,MB,X,X - historical,0,89,na,0,na,,102159MB
102159,NL,X,X - historical,52,74,0,0,na,,102159NL
102159,ON,X,X - historical,52,96,0,0,na,,102159ON
102159,SK,X,X - historical,0,86,na,0,na,,102159SK
102160,AB,Active,Active - mature - exiting,52,92,392,271,392,,102160AB
102160,BC,X,X - historical,52,92,36,1,na,,102160BC
102160,MB,Active,Active - mature - permanent,0,89,na,94,94,,102160MB
102160,ON,Active,Active - mature - exiting,52,96,340,282,340,,102160ON
102160,PE,X,X - historical,0,11,na,34,na,,102160PE
102160,SK,Active,Active - mature - exiting,0,90,na,70,70,,102160SK
102161,AB,X,X - historical,52,95,0,0,na,,102161AB
102161,BC,X,X - historical,0,94,na,0,na,,102161BC
102161,MB,X,X - historical,0,89,na,0,na,,102161MB
102161,ON,X,X - historical,52,96,0,0,na,,102161ON
102161,SK,X,X - historical,0,87,na,0,na,,102161SK
102162,AB,X,X - historical,52,95,0,0,na,,102162AB
102162,MB,X,X - historical,0,89,na,0,na,,102162MB
102162,ON,X,X - historical,52,96,0,0,na,,102162ON
102162,SK,X,X - historical,0,85,na,0,na,,102162SK
102163,AB,X,X - historical,52,95,0,0,na,,102163AB
102163,BC,X,X - historical,42,94,502,24,na,,102163BC
102163,MB,X,X - historical,0,89,na,0,na,,102163MB
102163,ON,X,X - historical,52,96,572,157,na,,102163ON
102163,SK,X,X - historical,0,89,na,0,na,,102163SK
102164,AB,Active,Active - mature - permanent,52,92,569,542,569,,102164AB
102164,MB,X,X - historical,0,89,na,0,na,,102164MB
102164,ON,Active,Active - mature - permanent,52,96,380,389,380,,102164ON
102164,PE,NPD,NPD - late launch,0,0,na,na,50.0,Late launch; pushing.[WARNING]: no loadin data.,102164PE
102164,SK,X,X - historical,0,89,na,0,na,,102164SK
102165,AB,Active,Active - mature - exiting,44,95,51,1177,51,,102165AB
102165,BC,Active,Active - mature - exiting,42,94,761,512,761,,102165BC
102165,MB,Active,Active - mature - permanent,0,89,na,74,74,,102165MB
102165,NS,Active,Active - mature - exiting,29,33,119,143,119,,102165NS
102165,ON,Active,Active - mature - exiting,46,96,733,857,733,,102165ON
102165,PE,X,X - historical,52,83,0,0,na,,102165PE
102165,SK,Active,Active - mature - exiting,0,89,na,110,110,,102165SK
102167,AB,X,X - historical,52,87,0,0,na,,102167AB
102167,BC,X,X - historical,0,86,na,0,na,,102167BC
102167,MB,Active,Active - mature - permanent,0,82,na,1,1,,102167MB
102167,ON,X,X - historical,52,78,4,3,na,,102167ON
102167,SK,X,X - historical,0,81,na,0,na,,102167SK
102168,AB,X,X - historical,52,91,0,0,na,,102168AB
102168,MB,Active,Active - mature - permanent,0,80,na,22,22,,102168MB
102168,ON,Active,Active - mature - permanent,52,78,66,54,66,,102168ON
102168,SK,X,X - historical,0,83,na,3,na,,102168SK
102174,QC,X,X - historical,52,98,0,0,na,,102174QC
102176,AB,X,X - historical,52,70,13,0,na,,102176AB
102176,MB,X,X - historical,0,67,na,5,na,,102176MB
102176,ON,X,X - historical,52,55,0,0,na,,102176ON
102176,SK,X,X - historical,0,60,na,0,na,,102176SK
102177,AB,X,X - historical,52,70,0,0,na,,102177AB
102177,BC,X,X - historical,40,45,19,0,na,,102177BC
102177,MB,Active,Active - mature - permanent,0,68,na,15,15,,102177MB
102177,ON,X,X - historical,52,64,5,3,na,,102177ON
102177,SK,X,X - historical,0,63,na,0,na,,102177SK
102178,AB,X,X - historical,52,70,5,0,na,,102178AB
102178,MB,X,X - historical,0,68,na,5,na,,102178MB
102178,ON,X,X - historical,52,55,0,0,na,,102178ON
102178,SK,X,X - historical,0,66,na,0,na,,102178SK
102184,AB,X,X - historical,41,51,7,0,na,,102184AB
102184,MB,X,X - historical,0,43,na,3,na,,102184MB
102184,ON,X,X - historical,52,57,4,0,na,,102184ON
102184,SK,X,X - historical,0,43,na,0,na,,102184SK
102189,BC,X,X - historical,52,91,172,4,na,,102189BC
102194,AB,X,X - historical,52,63,4,0,na,,102194AB
102194,MB,Active,Active - mature - permanent,0,68,na,75,75,,102194MB
102194,NL,Active,Active - mature - permanent,45,49,24,0,0,,102194NL
102194,NS,X,X - historical,52,63,0,0,na,,102194NS
102194,ON,Active,Active - mature - permanent,46,51,14,19,14,,102194ON
102194,PE,X,X - historical,52,59,0,0,na,,102194PE
102194,SK,Active,Active - mature - permanent,0,72,na,78,78,,102194SK
102195,AB,X,X - historical,52,63,6,0,na,,102195AB
102195,MB,Active,Active - mature - permanent,0,68,na,93,93,,102195MB
102195,NL,Active,Active - mature - permanent,46,49,24,0,0,,102195NL
102195,NS,X,X - historical,52,63,0,0,na,,102195NS
102195,ON,Active,Active - mature - permanent,46,51,32,38,32,,102195ON
102195,PE,X,X - historical,52,59,0,0,na,,102195PE
