part,prov,first_ship,last_ship,partprov
101972,AB,2024-01-15,2024-02-05,101972AB
101972,MB,2023-08-14,2025-01-13,101972MB
101972,NB,2025-03-24,2025-03-24,101972NB
101972,NU,2024-07-29,2024-11-25,101972NU
101972,ON,2023-09-25,2025-01-13,101972ON
101972,SK,2023-10-02,2025-01-06,101972SK
101979,QC,2023-08-07,2023-08-28,101979QC
101994,MB,2023-08-07,2024-01-22,101994MB
101994,NB,2023-09-11,2023-09-11,101994NB
101994,ON,2025-04-21,2025-04-21,101994ON
101994,SK,2023-10-02,2024-01-01,101994SK
101999,AB,2023-08-14,2023-08-14,101999AB
101999,MB,2023-07-31,2023-07-31,101999MB
101999,NL,2023-08-07,2023-09-25,101999NL
101999,ON,2023-08-14,2023-08-21,101999ON
101999,SK,2023-07-31,2023-07-31,101999SK
102005,QC,2023-10-23,2024-09-09,102005QC
102023,MB,2023-09-04,2023-09-25,102023MB
102023,SK,2023-07-31,2023-10-02,102023SK
102025,BC,2023-07-31,2023-11-13,102025BC
102025,MB,2024-02-12,2024-02-12,102025MB
102025,NL,2023-10-09,2023-10-09,102025NL
102027,MB,2023-07-31,2025-06-16,102027MB
102027,NL,2024-01-22,2024-10-14,102027NL
102027,NU,2024-02-12,2025-05-05,102027NU
102027,ON,2023-08-21,2025-06-16,102027ON
102027,SK,2023-10-02,2025-05-05,102027SK
102028,MB,2023-07-31,2025-06-09,102028MB
102028,NB,2024-12-30,2024-12-30,102028NB
102028,NL,2024-01-22,2024-03-11,102028NL
102028,NU,2024-09-23,2025-05-05,102028NU
102028,ON,2023-08-21,2025-06-16,102028ON
102028,SK,2023-10-02,2025-05-05,102028SK
102032,NL,2023-07-31,2024-11-18,102032NL
102033,NL,2023-07-31,2024-11-18,102033NL
102034,NL,2023-08-07,2025-02-03,102034NL
102035,NL,2023-07-31,2025-02-03,102035NL
102036,AB,2023-10-23,2024-04-08,102036AB
102036,BC,2023-11-06,2025-01-13,102036BC
102036,MB,2023-10-16,2025-06-16,102036MB
102036,NB,2024-02-26,2025-04-28,102036NB
102036,NL,2023-10-23,2024-10-07,102036NL
102036,NS,2023-10-23,2025-04-07,102036NS
102036,NU,2024-02-12,2024-07-29,102036NU
102036,ON,2023-12-25,2025-03-31,102036ON
