part,prov,sow,demand
101109,SK,2024-09-16,0.0
101109,SK,2024-09-23,0.0
101109,SK,2024-09-30,24.0
101109,SK,2024-10-07,0.0
101109,SK,2024-10-14,0.0
101109,SK,2024-10-21,0.0
101109,SK,2024-10-28,0.0
101109,SK,2024-11-04,48.0
101109,SK,2024-11-11,0.0
101109,SK,2024-11-18,0.0
101109,SK,2024-11-25,240.0
101109,SK,2024-12-02,0.0
101109,SK,2024-12-09,0.0
101109,SK,2024-12-16,0.0
101109,SK,2024-12-23,0.0
101109,SK,2024-12-30,0.0
101109,SK,2025-01-06,0.0
101109,SK,2025-01-13,0.0
101109,SK,2025-01-20,0.0
101109,SK,2025-01-27,0.0
101109,SK,2025-02-03,240.0
101109,SK,2025-02-10,0.0
101109,SK,2025-02-17,0.0
101109,SK,2025-02-24,0.0
101109,SK,2025-03-03,0.0
101109,SK,2025-03-10,0.0
101109,SK,2025-03-17,0.0
101109,SK,2025-03-24,0.0
101109,SK,2025-03-31,0.0
101109,SK,2025-04-07,48.0
101109,SK,2025-04-14,0.0
101109,SK,2025-04-21,0.0
101109,SK,2025-04-28,0.0
101109,SK,2025-05-05,240.0
101109,SK,2025-05-12,0.0
101109,SK,2025-05-19,0.0
101109,SK,2025-05-26,0.0
101109,SK,2025-06-02,0.0
101109,SK,2025-06-09,0.0
101119,MB,2023-07-03,96.0
101119,MB,2023-07-10,96.0
101119,MB,2023-07-17,72.0
101119,MB,2023-07-24,240.0
101119,MB,2023-07-31,96.0
101119,MB,2023-08-07,0.0
101119,MB,2023-08-14,216.0
101119,MB,2023-08-21,72.0
101119,MB,2023-08-28,24.0
101119,MB,2023-09-04,96.0
101119,MB,2023-09-11,96.0
101119,MB,2023-09-18,0.0
101119,MB,2023-09-25,96.0
101119,MB,2023-10-02,24.0
101119,MB,2023-10-09,72.0
101119,MB,2023-10-16,72.0
101119,MB,2023-10-23,96.0
101119,MB,2023-10-30,504.0
101119,MB,2023-11-06,48.0
101119,MB,2023-11-13,48.0
101119,MB,2023-11-20,192.0
101119,MB,2023-11-27,120.0
101119,MB,2023-12-04,192.0
101119,MB,2023-12-11,24.0
